student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
S1000,Yesenia Browning,12th,85,83,60,54,9,66
S1001,Rodney Lara,8th,91,49,32,98,6,72
S1002,Raymond Cooper,10th,92,48,37,50,16,67
S1003,Nancy Rivera,10th,63,95,53,85,17,79
S1004,John Villegas,12th,54,59,44,71,2,48
S1005,Matthew Rosario,11th,61,82,72,76,17,75
S1006,Tamara Smith,8th,69,63,60,91,6,77
S1007,Edward Campos,12th,43,51,74,43,4,39
S1008,Frank Harper,9th,52,96,95,98,16,82
S1009,Jennifer Payne,9th,98,35,37,56,14,65
S1010,Briana Prince,8th,62,56,86,68,17,68
S1011,Jennifer Combs,11th,47,39,59,89,12,63
S1012,Judy Perez,12th,57,77,47,63,3,63
S1013,Maria Vaughan,10th,51,99,98,72,7,74
S1014,Eddie White,8th,94,88,68,52,7,73
S1015,Brian Williams,11th,70,88,89,99,15,85
S1016,Victor Fischer,10th,53,31,72,35,12,50
S1017,Stephanie Osborne,9th,73,58,74,38,9,69
S1018,Brandon Foster,9th,57,97,52,38,9,57
S1019,Noah Haynes,10th,95,94,98,61,2,76
S1020,Timothy Hamilton,8th,73,55,35,77,8,64
S1021,Juan Webb,9th,50,39,85,93,7,59
S1022,Scott Smith,12th,80,82,33,66,9,60
S1023,Jennifer Gardner,10th,51,88,52,67,9,58
S1024,Russell Gonzalez,10th,88,51,35,62,15,60
S1025,Courtney Schmidt,9th,54,80,61,89,19,72
S1026,Sarah Ramos,8th,96,77,47,94,17,84
S1027,Billy Bush,12th,70,50,44,96,10,63
S1028,Kathleen Le,8th,88,51,69,68,16,74
S1029,Aaron Alvarado,11th,97,59,35,90,11,75
S1030,Jeffrey Ellis,11th,68,54,92,47,17,63
S1031,Erin Bishop,9th,65,57,96,90,5,76
S1032,Michael Cooper,9th,57,94,40,52,14,65
S1033,Barbara Payne,9th,71,74,72,88,6,63
S1034,Michele Lewis,11th,61,97,46,77,8,68
S1035,Jordan Wilkins,8th,77,36,33,73,10,53
S1036,Kaitlyn Alvarado,8th,56,78,92,95,9,82
S1037,Paula Becker,9th,62,38,97,76,17,67
S1038,David Proctor,12th,63,65,70,52,7,52
S1039,William Morrison,8th,89,30,34,57,17,57
S1040,Andrea Jones,11th,47,39,61,88,7,52
S1041,Sara Robinson,10th,80,65,99,64,15,80
S1042,Donna Mcdonald,10th,45,75,64,92,2,59
S1043,Andrew Watson,10th,44,61,51,52,10,51
S1044,Michael Dixon,12th,83,61,94,41,14,76
S1045,Joseph Lawson,9th,96,35,51,74,18,74
S1046,Mackenzie Perez,11th,68,77,40,99,12,73
S1047,Jamie Green,12th,67,67,32,83,9,61
S1048,Timothy Johnson,11th,50,46,38,86,6,55
S1049,Robin Montgomery,11th,96,56,89,63,11,77
S1050,John Nelson,9th,40,83,43,55,8,48
S1051,Ricardo Mills,10th,82,79,47,43,11,66
S1052,Kelsey Morgan,9th,58,64,52,81,5,54
S1053,Anthony Roy,12th,48,54,76,76,10,64
S1054,Nathan Jackson,12th,66,57,98,85,15,70
S1055,Jeremy Davis,12th,73,44,76,90,3,76
S1056,Ashley Padilla,9th,83,33,59,85,10,69
S1057,Sarah Jennings,11th,43,56,54,54,2,39
S1058,Christopher Carter,11th,75,55,57,61,11,61
S1059,James Garrett,8th,57,48,54,72,11,55
S1060,Martin Cain,12th,54,46,87,99,4,63
S1061,Louis Joyce,11th,90,72,70,88,7,77
S1062,Peter Jackson,8th,52,70,54,58,7,51
S1063,Taylor Gross,11th,58,71,77,81,3,69
S1064,Elizabeth Garcia,12th,88,79,39,97,19,82
S1065,Mr. Robert Levine Jr.,10th,45,69,40,91,3,59
S1066,Ricky Chan,12th,87,68,50,89,13,74
S1067,Mrs. Ellen Johnson MD,9th,95,52,74,94,6,78
S1068,Katie Butler,11th,51,81,36,96,8,68
S1069,Hailey Hill,11th,90,76,93,64,17,83
S1070,Tanya Schmidt,9th,76,92,93,56,2,64
S1071,Keith Young,9th,56,98,31,63,2,52
S1072,Christopher Brown,10th,97,72,71,75,18,79
S1073,Dominique Morris,11th,62,77,83,76,2,60
S1074,Sara Sanders,11th,65,63,45,99,14,70
S1075,Kerry Smith,10th,68,69,47,65,10,68
S1076,Ashley Heath,8th,72,90,88,64,16,83
S1077,Ryan Wilkinson,10th,99,79,45,52,4,68
S1078,Joshua Abbott,12th,66,96,35,51,15,66
S1079,Lisa Gaines,11th,64,91,86,72,12,86
S1080,Glen Reyes,9th,95,87,76,48,13,79
S1081,Walter James,12th,94,62,77,90,14,85
S1082,David Foster,11th,49,45,71,56,14,49
S1083,Julian Thompson,10th,86,77,89,90,2,84
S1084,Laurie Owens,12th,62,39,33,53,11,50
S1085,Christopher Diaz,11th,60,67,31,91,4,58
S1086,Aaron Ellison,8th,60,48,88,78,5,62
S1087,John King,8th,82,65,56,69,17,67
S1088,Robert Walls,9th,52,88,56,35,9,61
S1089,Teresa Gibson,11th,76,92,36,86,17,74
S1090,Mia Moore,8th,72,75,92,71,18,75
S1091,Kevin Freeman,10th,63,32,75,99,16,66
S1092,Christopher Wolfe,11th,83,94,92,85,17,88
S1093,Leslie Wall,10th,50,37,41,35,16,43
S1094,Jennifer Irwin,10th,56,80,42,55,3,50
S1095,Anne Bowers,8th,43,35,72,87,12,52
S1096,Stacy Serrano,11th,86,68,46,50,2,62
S1097,Robert Hernandez,12th,64,89,92,95,16,83
S1098,Diana Kane,8th,69,57,65,88,5,60
S1099,William Davis,8th,48,83,37,74,12,59
S1100,Amber Hill,11th,60,66,98,60,6,68
S1101,Brian Mcguire,11th,59,38,65,99,4,62
S1102,Desiree Williams,10th,58,85,57,98,14,75
S1103,Amy Roberts,11th,58,88,76,77,11,72
S1104,Kellie Castro,10th,51,31,59,51,12,43
S1105,Cheryl Wilson,8th,76,90,52,93,19,84
S1106,John Rios,9th,81,87,45,57,3,53
S1107,Richard Mendez,12th,56,89,43,41,8,56
S1108,Jennifer Gross,8th,76,69,81,78,10,76
S1109,Joseph Evans,11th,93,65,66,87,11,75
S1110,Randall Scott V,12th,87,66,58,68,19,74
S1111,Susan Bell,9th,78,47,96,80,8,70
S1112,Brandon Wall,9th,67,92,44,50,8,62
S1113,Gary Hutchinson,10th,80,51,76,53,4,65
S1114,Joshua Reeves,12th,74,40,75,36,13,53
S1115,Debbie Johnston,10th,86,87,81,44,8,73
S1116,Angela Lopez,8th,87,86,48,84,18,87
S1117,Mark Berry,12th,57,33,50,46,2,44
S1118,Madison Chandler,8th,53,36,93,56,6,53
S1119,Melanie Freeman,10th,74,90,66,66,17,86
S1120,Tasha Day,12th,83,83,56,35,16,65
S1121,Jeff Hopkins,10th,80,97,84,88,3,80
S1122,Michael Thomas,12th,99,30,58,92,10,71
S1123,Timothy Howard,10th,46,84,49,52,8,57
S1124,Patrick Davis,9th,80,32,54,40,5,48
S1125,Jonathan Combs,10th,52,67,99,79,19,76
S1126,Cathy Williams,9th,57,30,92,57,5,60
S1127,John Deleon,10th,76,67,65,57,14,64
S1128,Danielle Ross,12th,52,58,31,60,2,44
S1129,Linda Holland,12th,75,34,51,41,4,46
S1130,Michael Burns,12th,70,50,45,78,17,59
S1131,Keith Myers,11th,41,96,47,61,5,53
S1132,Steven Leach,8th,55,76,98,60,17,68
S1133,Joseph Ayers,12th,48,64,83,70,2,59
S1134,Samuel Nelson,9th,48,97,59,89,6,72
S1135,Michael Bell,12th,77,98,74,98,12,91
S1136,Michael Bright,11th,50,30,48,91,14,58
S1137,Laura Lewis,9th,93,97,63,95,6,84
S1138,Vincent Jenkins,11th,95,41,42,36,5,53
S1139,David Jenkins,9th,61,89,72,89,5,61
S1140,Michael Johnson,10th,72,56,91,72,5,62
S1141,Victor Marshall,8th,75,85,51,63,5,68
S1142,Cody Turner,8th,84,52,81,60,19,76
S1143,Kaitlyn Garcia,11th,62,54,81,69,19,73
S1144,Emily Brady,8th,84,50,65,63,17,67
